,tg,lon_x,lat_x,e99_1930,e99_1930_sigf,e99_1950,e99_1950_sigf,t99_1930,t99_1930_sigf,t99_1950,t99_1950_sigf
108,timaru_665a_new_zealand,171.25,-44.383,,,0.440131431,TRUE,,,0.992154065,TRUE
109,unalaska_usa,-166.54,53.88,,,0.524306639,TRUE,,,0.306393541,TRUE
110,"valdez,ak_562a_usa",-146.36,61.125,,,0.460310457,TRUE,,,,
111,villagarcia_villagarcia_spain,-8.77,42.601,,,-0.96200723,TRUE,,,,
112,williamstown_028_australia,144.9,-37.857,,,-0.54563894,TRUE,,,,
113,abashiri_japan,144.28,44.017,,,,,0.289940385,TRUE,,
114,bakar_bakar_I_croatia,14.533,45.3,,,,,-0.320518784,TRUE,-0.573074809,TRUE
115,"boston,ma_741a_usa",-71.052,42.355,,,,,0.589824374,TRUE,0.835053951,TRUE
116,centuri_france,9.3498,42.966,,,,,0.210784636,TRUE,,
117,fos_sur_mer_france,4.8929,43.405,,,,,0.064191568,TRUE,,
118,heimsjoe_001_norway,9.1014,63.425,,,,,0.725066231,TRUE,1.06770827,TRUE
119,holyhead_p054_uk,-4.6312,53.308,,,,,0.569191209,TRUE,,
120,kushiro_japan,144.38,42.967,,,,,0.527255572,TRUE,,
121,"newport,ri_253a_usa",-71.327,41.505,,,,,0.337426882,TRUE,,
122,newport_usa,-71.327,41.505,,,,,0.369079172,TRUE,,
123,portland_maine__usa,-70.247,43.657,,,,,0.372360785,TRUE,,
124,st._john_s_b_276b_canada,-52.7,47.567,,,,,0.526972313,TRUE,,
125,"vardo,norway_001",31.1,70.333,,,,,0.709302026,TRUE,1.153018512,TRUE
126,zhapo_a_635a_china,111.83,21.583,,,,,0.540912519,TRUE,,
127,apalachicola_usa,-84.982,29.727,,,,,,,1.039764797,TRUE
128,bluff_072a_new_zealand,168.35,-46.6,,,,,,,1.623592624,TRUE
129,burnie_344a_australia,145.91,-41.5,,,,,,,0.677903562,TRUE
130,chatham_079a_new_zealand,-176.56,-43.947,,,,,,,0.95819074,TRUE
131,cherbourg_,-1.6355,49.651,,,,,,,0.580352878,TRUE
132,coruna_coru_spain,-8.4,43.367,,,,,,,-0.695262056,TRUE
133,"dutch_harbor_b,ak_041b_usa",-166.54,53.88,,,,,,,0.451209485,TRUE
134,fukaura_japan,139.93,40.65,,,,,,,0.365974334,TRUE
135,geelong_013_australia,144.36,-38.147,,,,,,,0.499601213,TRUE
136,gisborne_b_078b_new_zealand,178.03,-38.683,,,,,,,0.545763123,TRUE
137,ibiza_ibiza_spain,1.4497,38.911,,,,,,,-0.314121889,TRUE
138,la_coruna_830a_spain,-8.4,43.367,,,,,,,-0.613364298,TRUE
139,les_sables_d_olonne_,-1.7935,46.497,,,,,,,-0.791982193,TRUE
140,marsden_point_398a_new_zealand,174.5,-35.833,,,,,,,0.778247383,TRUE
141,miyako_japan,141.98,39.65,,,,,,,0.297275524,TRUE
142,napier_668a_new_zealand,176.92,-39.483,,,,,,,0.48067917,TRUE
143,nelson_077a_new_zealand,173.27,-41.267,,,,,,,0.310295196,TRUE
144,ofunato_japan,141.72,39.067,,,,,,,0.204782429,TRUE
145,ponta_delgada_211a_portugal,-25.672,37.735,,,,,,,-0.306670796,TRUE
146,port_bloc_,-1.0616,45.569,,,,,,,-0.625535963,TRUE
147,saint_jean_de_luz_so_,-1.6816,43.395,,,,,,,-0.386700404,TRUE
148,"seward_c,ak_560c_usa",-149.43,60.12,,,,,,,-1.059582952,TRUE
149,vigo_ieo_spain,-8.7333,42.233,,,,,,,-0.662421013,TRUE
150,wakkanai_japan,141.68,45.4,,,,,,,0.589746973,TRUE
151,wellington_071a_new_zealand,174.78,-41.283,,,,,,,0.247582479,TRUE
