tg,lon,lat,era20c_vi,era20c_recLen,era20c_recSign,obsRecordLength_x,era20c_yrsGained,era20c_yrsGainedSign,twcr_vi,twcr_recLen,twcr_recSign,twcr_yrsGained,twcr_yrsGainedSign
spring_bay_335a_australia,147.93,-42.55,1973,37,0-50,26,11,0-30,discard ,,,,
st.paulisland_001,77.583,-38.717,1949,61,50-75,4,57,30-60,,,,,
st.petersburg_usa,-82.627,27.761,1941,69,50-75,63,6,0-30,1869,146,125-150,83,60-90
"st._augustine,fl_262a_usa",-81.262,29.857,1941,69,50-75,9,60,30-60,1859,156,150-180,147,120-160
st._john_s_b_276b_canada,-52.7,47.567,1941,69,50-75,47,22,0-30,1913,102,100-125,55,30-60
"st._petersburg,_fl_759a_usa",-82.627,27.76,1941,69,50-75,63,6,0-30,1861,154,150-180,91,90-120
stanley_uk,-57.821,-51.692,discard,,,17,,,1975,40,0-50,23,0-30
stenungsund_022_sweden,11.832,58.093,1900,110,100-125,49,61,60-90,1880,135,125-150,86,60-90
sthelier_p074_uk,-2.1167,49.183,1921,89,75-100,22,67,60-90,1875,140,125-150,118,90-120
stmarys_p231_uk,-6.3164,49.918,1921,89,75-100,15,74,60-90,1875,140,125-150,125,120-160
stornoway_p042_uk,-6.3882,58.208,1921,89,75-100,30,59,30-60,1869,146,125-150,116,90-120
taranaki_076a_new_zealand,174.03,-39.05,1925,85,75-100,23,62,60-90,1948,67,50-75,44,30-60
tauranga_073a_new_zealand,176.18,-37.65,1920,90,75-100,24,66,60-90,1948,67,50-75,43,30-60
tenerife_tenerife_spain,-16.24,28.478,1900,110,100-125,21,89,60-90,1875,140,125-150,119,90-120
thevenard_026_australia,133.65,-32.146,1900,110,100-125,39,71,60-90,1944,71,50-75,32,30-60
timaru_665a_new_zealand,171.25,-44.383,1948,62,50-75,15,47,30-60,1948,67,50-75,52,30-60
tobermory_p223_uk,-6.0642,56.623,1900,110,100-125,20,90,60-90,1875,140,125-150,120,90-120
toulon_france,5.9131,43.117,1900,110,100-125,27,83,60-90,1898,117,100-125,90,60-90
tregde_006_norway,7.5666,58,1900,110,100-125,45,65,60-90,1870,145,125-150,100,90-120
trieste_270061_italy,13.75,45.65,1900,110,100-125,43,67,60-90,1875,140,125-150,97,90-120
ullapool_p043_uk,-5.1579,57.895,1900,110,100-125,35,75,60-90,1875,140,125-150,105,90-120
unalaska_usa,-166.54,53.88,1945,65,50-75,32,33,30-60,1944,71,50-75,39,30-60
"valdez,ak_562a_usa",-146.36,61.125,1942,68,50-75,34,34,30-60,1942,73,50-75,39,30-60
valencia_valencia_spain,-0.33,39.46,1900,110,100-125,22,88,60-90,1877,138,125-150,116,90-120
varberg1_024_sweden,12.217,57.1,1900,110,100-125,20,90,60-90,1880,135,125-150,115,90-120
"vardo,norway_001",31.1,70.333,1900,110,100-125,28,82,60-90,1928,87,75-100,59,30-60
venezia_punta_salute_italy,12.426,45.419,1900,110,100-125,33,77,60-90,1875,140,125-150,107,90-120
victorharbor_027_australia,138.62,-35.553,1900,110,100-125,37,73,60-90,1947,68,50-75,31,30-60
"victoria,bc_543a_canada",-123.37,48.422,1944,66,50-75,102,-36,(-60)-(-30),1944,71,50-75,-31,(-60)-(-30)
vigo_ieo_spain,-8.7333,42.233,1900,110,100-125,67,43,30-60,1875,140,125-150,73,60-90
viken_025_sweden,12.579,56.142,1900,110,100-125,39,71,60-90,1880,135,125-150,96,90-120
villagarcia_villagarcia_spain,-8.77,42.601,1900,110,100-125,17,93,90-120,1875,140,125-150,123,120-160
wakkanai_japan,141.68,45.4,1900,110,100-125,53,57,30-60,1948,67,50-75,14,0-30
washingtondc_usa,-77.022,38.873,1940,70,50-75,64,6,0-30,,,,,
wellington_071a_new_zealand,174.78,-41.283,1948,62,50-75,67,-5,(-15)-(0),1948,67,50-75,0,(-15)-(0)
weymouth_p991_uk,-2.4479,50.608,1921,89,75-100,21,68,60-90,1875,140,125-150,119,90-120
whitby_p174_uk,-0.61417,54.49,1900,110,100-125,29,81,60-90,1868,147,125-150,118,90-120
wick_p035_uk,-3.0863,58.441,1900,110,100-125,43,67,60-90,1869,146,125-150,103,90-120
"willapa_bay,_wa_564a_usa",-123.97,46.708,1947,63,50-75,38,25,0-30,1948,67,50-75,29,0-30
willetspoint_usa,-73.782,40.793,1940,70,50-75,46,24,0-30,1872,143,125-150,97,90-120
williamstown_028_australia,144.9,-37.857,1900,110,100-125,39,71,60-90,1947,68,50-75,29,0-30
"woods_hole,ma_742a_usa",-70.672,41.523,1940,70,50-75,49,21,0-30,1872,143,125-150,94,90-120
workington_p217_uk,-3.5676,54.651,1900,110,100-125,22,88,60-90,1868,147,125-150,125,120-160
xiamen_376a_china,118.07,24.45,1942,68,50-75,44,24,0-30,1881,134,125-150,90,60-90
yakutat_usa,-139.74,59.548,1944,66,50-75,47,19,0-30,1942,73,50-75,26,0-30
zhapo_a_635a_china,111.83,21.583,1965,45,0-50,24,21,0-30,1880,135,125-150,111,90-120
centuri_france,9.3498,42.966,,,,4,,,1875,140,125-150,136,120-160
cherbourg_,-1.6355,49.651,,,,39,,,1875,140,125-150,101,90-120
formentera_formentera_spain,1.4189,38.735,,,,5,,,1853,162,150-180,157,120-160
fos_sur_mer_france,4.8929,43.405,,,,3,,,1875,140,125-150,137,120-160
gandia_gandia_spain,-0.152,38.995,,,,7,,,1875,140,125-150,133,120-160
melilla_melilla_spain,-2.918,35.291,,,,7,,,1877,138,125-150,131,120-160
"princerupert,canada_001",-130.17,54.317,,,,13,,,1948,67,50-75,54,30-60
solenzara_france,9.4038,41.857,,,,3,,,1877,138,125-150,135,120-160
